DATASET_LABEL
SEPARATOR TAB
DATASET_LABEL	Strain_Names
DATA
PA097	PA097
PA096	PA096
PA095	PA095
PA093	PA093
PA092	PA092
PA091	PA091
PA010	PA010
PA090	PA090
PA089	PA089
PA088	PA088
PA087	PA087
PA086	PA086
PA085	PA085
PA084	PA084
PA083	PA083
PA082	PA082
PA081	PA081
PA009	PA009
PA080	PA080
PA079	PA079
PA078	PA078
PA077	PA077
PA076	PA076
PA075	PA075
PA074	PA074
PA073	PA073
PA072	PA072
PA071	PA071
PA008	PA008
PA070	PA070
PA069	PA069
PA068	PA068
PA067	PA067
PA066	PA066
PA065	PA065
PA064	PA064
PA063	PA063
PA062	PA062
PA061	PA061
PA007	PA007
PA060	PA060
PA059	PA059
PA058	PA058
PA057	PA057
PA056	PA056
PA055	PA055
PA054	PA054
PA053	PA053
PA052	PA052
PA051	PA051
PA006	PA006
PA050	PA050
PA049	PA049
PA048	PA048
PA047	PA047
PA046	PA046
PA045	PA045
PA044	PA044
PA043	PA043
PA042	PA042
PA041	PA041
PA005	PA005
PA040	PA040
PA039	PA039
PA038	PA038
PA037	PA037
PA036	PA036
PA035	PA035
PA034	PA034
PA033	PA033
PA032	PA032
PA031	PA031
PA004	PA004
PA030	PA030
PA029	PA029
PA028	PA028
PA027	PA027
PA026	PA026
PA025	PA025
PA024	PA024
PA023	PA023
PA022	PA022
PA021	PA021
PA003	PA003
PA020	PA020
PA019	PA019
PA018	PA018
PA017	PA017
PA016	PA016
PA015	PA015
PA014	PA014
PA013	PA013
PA012	PA012
PA011	PA011
PA002	PA002
PA001	PA001
